game id,turn number,player,final location
0,702,2,"(16, 6)"
1,153,1,"(0, 2)"
2,189,1,"(0, 16)"
3,344,2,"(16, 10)"
4,517,1,"(0, 14)"
5,126,2,"(16, 14)"
6,113,1,"(0, 0)"
7,134,2,"(16, 4)"
8,464,2,"(16, 10)"
9,494,2,"(16, 14)"
10,434,2,"(16, 16)"
11,224,2,"(16, 0)"
12,239,1,"(0, 14)"
13,251,1,"(0, 8)"
14,134,2,"(16, 16)"
15,65,1,"(0, 10)"
16,1166,2,"(16, 4)"
17,461,1,"(0, 2)"
18,613,1,"(0, 16)"
19,146,2,"(16, 6)"
20,220,2,"(16, 16)"
21,328,2,"(16, 0)"
22,148,2,"(16, 12)"
23,56,2,"(16, 16)"
24,208,2,"(16, 8)"
25,151,1,"(0, 16)"
26,166,2,"(16, 4)"
27,104,2,"(16, 0)"
28,360,2,"(16, 12)"
29,291,1,"(0, 0)"
30,180,2,"(16, 12)"
31,73,1,"(0, 16)"
32,247,1,"(0, 16)"
33,274,2,"(16, 8)"
34,117,1,"(0, 8)"
35,274,2,"(16, 8)"
36,98,2,"(16, 16)"
37,63,1,"(0, 16)"
38,214,2,"(16, 16)"
39,360,2,"(16, 12)"
40,517,1,"(0, 16)"
41,327,1,"(0, 16)"
42,77,1,"(0, 0)"
43,321,1,"(0, 12)"
44,390,2,"(16, 10)"
45,339,1,"(0, 12)"
46,197,1,"(0, 14)"
47,511,1,"(0, 8)"
48,125,1,"(0, 12)"
49,210,2,"(16, 16)"
50,166,2,"(16, 16)"
51,120,2,"(16, 16)"
52,210,2,"(16, 4)"
53,122,2,"(16, 6)"
54,166,2,"(16, 16)"
55,205,1,"(0, 2)"
56,502,2,"(16, 12)"
57,224,2,"(16, 10)"
58,351,1,"(0, 2)"
59,532,2,"(16, 14)"
60,551,1,"(0, 6)"
61,420,2,"(16, 10)"
62,229,1,"(0, 12)"
63,327,1,"(0, 0)"
64,406,2,"(16, 2)"
65,120,2,"(16, 14)"
66,165,1,"(0, 14)"
67,974,2,"(16, 4)"
68,821,1,"(0, 16)"
69,109,1,"(0, 0)"
70,182,2,"(16, 6)"
71,725,1,"(0, 14)"
72,122,2,"(16, 10)"
73,206,2,"(16, 4)"
74,148,2,"(16, 14)"
75,107,1,"(0, 16)"
76,37,1,"(0, 10)"
77,222,2,"(16, 2)"
78,205,1,"(0, 6)"
79,283,1,"(0, 16)"
80,578,2,"(16, 10)"
81,415,1,"(0, 2)"
82,290,2,"(16, 10)"
83,702,2,"(16, 14)"
84,676,2,"(16, 10)"
85,462,2,"(16, 8)"
86,136,2,"(16, 14)"
87,279,1,"(0, 14)"
88,150,2,"(16, 14)"
89,182,2,"(16, 4)"
90,184,2,"(16, 16)"
91,270,2,"(16, 16)"
92,435,1,"(0, 0)"
93,366,2,"(16, 16)"
94,148,2,"(16, 0)"
95,174,2,"(16, 2)"
96,114,2,"(16, 12)"
97,155,1,"(0, 14)"
98,502,2,"(16, 0)"
99,434,2,"(16, 16)"
